               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.03477,           0.0096435,                   0,             0.94979,                   1,               0.995,             0.43436,            0.035525,           0.0040599,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.036685,           0.0098947,                   0,             0.99603,                   1,               0.995,             0.47827,            0.034099,           0.0041322,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030535,           0.0089746,                   0,             0.99539,                   1,               0.995,             0.46677,            0.039095,           0.0042759,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.027392,           0.0098374,                   0,                   1,             0.99951,               0.995,             0.55936,            0.035044,           0.0041787,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.030725,           0.0097819,                   0,             0.99226,                   1,               0.995,             0.48454,            0.034503,           0.0040891,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.029698,           0.0085378,                   0,             0.99622,                   1,               0.995,             0.45208,             0.03379,           0.0041214,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.029521,            0.009614,                   0,             0.99579,                   1,               0.995,             0.41311,            0.037129,           0.0041245,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029798,           0.0093468,                   0,             0.99614,                   1,               0.995,             0.49649,            0.035488,           0.0041789,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.027586,           0.0077602,                   0,             0.99579,                   1,               0.995,             0.50718,            0.037475,           0.0041336,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.033807,           0.0089601,                   0,             0.99629,                   1,               0.995,             0.43297,            0.037263,           0.0041131,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02815,            0.007755,                   0,             0.94312,             0.94737,             0.91898,             0.43751,             0.03595,           0.0042042,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.030642,           0.0089928,                   0,             0.99649,                   1,               0.995,             0.50909,            0.033081,           0.0042228,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.028584,           0.0089292,                   0,             0.99583,                   1,               0.995,                0.41,            0.035827,           0.0042441,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.028234,           0.0087351,                   0,               0.996,                   1,               0.995,             0.48951,             0.03439,           0.0041776,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.026683,           0.0082986,                   0,             0.99639,                   1,               0.995,              0.5021,            0.034123,           0.0041293,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.028851,           0.0078867,                   0,             0.99629,                   1,               0.995,             0.47897,            0.033345,           0.0041576,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.027772,           0.0085271,                   0,             0.99627,                   1,               0.995,             0.54323,            0.030531,           0.0040975,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025374,           0.0084115,                   0,             0.99633,                   1,               0.995,             0.51866,            0.032247,           0.0041133,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.026633,           0.0079711,                   0,             0.99628,                   1,               0.995,             0.55395,            0.031853,           0.0041252,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02637,           0.0090314,                   0,             0.99447,                   1,               0.995,             0.51954,            0.030681,           0.0040928,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.027723,           0.0082068,                   0,             0.99464,                   1,               0.995,             0.52097,            0.032403,           0.0041297,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.02454,           0.0077881,                   0,             0.99657,                   1,               0.995,             0.56223,            0.029659,           0.0040915,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.026193,           0.0085015,                   0,             0.99641,                   1,               0.995,             0.52582,             0.03431,           0.0041609,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.024628,           0.0083116,                   0,             0.99668,                   1,               0.995,             0.53742,            0.033431,           0.0040118,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024881,           0.0082167,                   0,             0.99669,                   1,               0.995,             0.43833,            0.034498,           0.0040308,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.024896,            0.008062,                   0,             0.99666,                   1,               0.995,             0.42388,            0.038317,           0.0040093,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02497,           0.0082708,                   0,             0.99653,                   1,               0.995,             0.50048,            0.033691,           0.0038954,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.024467,           0.0082289,                   0,             0.99636,                   1,               0.995,             0.56146,            0.031401,            0.003802,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023054,           0.0081354,                   0,             0.99684,                   1,               0.995,             0.56836,              0.0308,           0.0038254,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.022792,           0.0065296,                   0,             0.99732,                   1,               0.995,              0.5469,            0.032619,           0.0038722,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023304,           0.0085078,                   0,             0.99742,                   1,               0.995,             0.64168,            0.028046,           0.0038013,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022941,           0.0086361,                   0,             0.99776,                   1,               0.995,             0.65355,            0.027824,           0.0038714,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021754,           0.0069958,                   0,             0.99777,                   1,               0.995,             0.67317,            0.026455,           0.0038892,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022663,           0.0070615,                   0,              0.9977,                   1,               0.995,             0.65196,            0.025342,           0.0038821,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020183,            0.006952,                   0,             0.99774,                   1,               0.995,             0.68896,            0.023628,            0.003818,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023204,           0.0078093,                   0,             0.99688,                   1,               0.995,             0.61462,            0.027585,            0.003926,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020423,           0.0079904,                   0,             0.99695,                   1,               0.995,             0.64095,            0.026747,           0.0041796,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020598,           0.0067369,                   0,             0.99677,                   1,               0.995,             0.63495,            0.026178,           0.0040994,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020697,           0.0074533,                   0,             0.99682,                   1,               0.995,             0.61744,            0.026295,           0.0040565,                   0,            0.002476,            0.002476,            0.002476
